temperature;oxygen;oxygen_2;salinity;day;month;year;hour
20.8548;5.27877;5.033;38.2424;1;11;2022;00:21:22
20.8877;5.28503;5.024;38.2639;1;11;2022;00:51:22
20.87125;5.2819;5.0285;38.25315;1;11;2022;00:00:00
20.8791;5.28397;5.017;38.2629;1;11;2022;01:21:22
20.9395;5.2937;5.013;38.288;1;11;2022;01:51:22
20.9093;5.288835;5.015;38.27545;1;11;2022;01:00:00
20.9019;5.29069;5.016;38.2973;1;11;2022;02:21:22
20.9293;5.29378;5.013;38.2978;1;11;2022;02:51:22
20.9156;5.292235;5.0145;38.29755;1;11;2022;02:00:00
20.9235;5.29445;4.999;38.3085;1;11;2022;03:21:22
20.928;5.29508;5.001;38.3096;1;11;2022;03:51:22
20.92575;5.294765;5;38.30905;1;11;2022;03:00:00
20.9207;5.29429;4.989;38.3098;1;11;2022;04:21:22
20.9171;5.29351;4.989;38.3067;1;11;2022;04:51:22
20.9189;5.2939;4.989;38.30825;1;11;2022;04:00:00
20.9243;5.29514;4.978;38.3134;1;11;2022;05:21:22
20.9204;5.29427;4.969;38.3099;1;11;2022;05:51:22
20.92235;5.294705;4.9735;38.31165;1;11;2022;05:00:00
20.9174;5.294;4.972;38.3103;1;11;2022;06:21:22
20.9217;5.29464;4.978;38.3117;1;11;2022;06:51:22
20.91955;5.29432;4.975;38.311;1;11;2022;06:00:00
20.9127;5.29227;4.991;38.3004;1;11;2022;07:21:22
20.9131;5.29289;4.998;38.3051;1;11;2022;07:51:22
20.9129;5.29258;4.9945;38.30275;1;11;2022;07:00:00
20.9253;5.29439;4.995;38.3064;1;11;2022;08:21:22
20.9101;5.28515;4.997;38.2448;1;11;2022;08:51:22
20.9177;5.28977;4.996;38.2756;1;11;2022;08:00:00
20.8391;5.26217;5.009;38.1209;1;11;2022;09:21:22
20.7904;5.25189;5.02;38.0806;1;11;2022;09:51:22
20.81475;5.25703;5.0145;38.10075;1;11;2022;09:00:00
20.8161;5.25825;5.013;38.1095;1;11;2022;10:21:22
20.6313;5.20691;5.023;37.8551;1;11;2022;10:51:22
20.7237;5.23258;5.018;37.9823;1;11;2022;10:00:00
20.6848;5.22115;5.012;37.9238;1;11;2022;11:21:22
20.6503;5.20709;4.983;37.8395;1;11;2022;11:51:22
20.66755;5.21412;4.9975;37.88165;1;11;2022;11:00:00
20.857;5.24312;4.961;37.9493;1;11;2022;12:21:22
20.9462;5.27563;4.957;38.1346;1;11;2022;12:51:22
20.9016;5.259375;4.959;38.04195;1;11;2022;12:00:00
20.9788;5.28679;4.968;38.1963;1;11;2022;13:21:22
20.989;5.30021;4.994;38.2966;1;11;2022;13:51:22
20.9839;5.2935;4.981;38.24645;1;11;2022;13:00:00
20.989;5.29894;4.988;38.2862;1;11;2022;14:21:22
20.9821;5.29757;4.983;38.2811;1;11;2022;14:51:22
20.98555;5.298255;4.9855;38.28365;1;11;2022;14:00:00
20.9531;5.29303;4.986;38.2702;1;11;2022;15:21:22
20.9435;5.29307;4.983;38.2792;1;11;2022;15:51:22
20.9483;5.29305;4.9845;38.2747;1;11;2022;15:00:00
20.9295;5.29336;4.998;38.2942;1;11;2022;16:21:22
20.9532;5.29607;4.997;38.295;1;11;2022;16:51:22
20.94135;5.294715;4.9975;38.2946;1;11;2022;16:00:00
20.9427;5.29544;5.005;38.2993;1;11;2022;17:21:22
20.9118;5.28945;5.001;38.2783;1;11;2022;17:51:22
20.92725;5.292445;5.003;38.2888;1;11;2022;17:00:00
20.9147;5.29013;4.992;38.2812;1;11;2022;18:21:22
20.9085;5.28832;4.988;38.272;1;11;2022;18:51:22
20.9116;5.289225;4.99;38.2766;1;11;2022;18:00:00
20.9151;5.29106;5;38.2885;1;11;2022;19:21:22
20.9239;5.2935;4.992;38.3005;1;11;2022;19:51:22
20.9195;5.29228;4.996;38.2945;1;11;2022;19:00:00
20.9149;5.29108;5;38.2888;1;11;2022;20:21:22
20.8764;5.28198;4.98;38.2491;1;11;2022;20:51:22
20.89565;5.28653;4.99;38.26895;1;11;2022;20:00:00
20.8848;5.28353;4.98;38.2543;1;11;2022;21:00:00
20.8876;5.2868;4.992;38.2784;1;11;2022;22:51:28
20.8862;5.285165;4.986;38.26635;1;11;2022;22:00:00
20.8878;5.28695;4.99;38.2794;1;11;2022;23:21:28
20.8802;5.28694;4.991;38.2863;1;11;2022;23:51:28
