datetime;T_seaF_sf
01/12/2022 00:00;18.0768
01/12/2022 01:00;18.0744
01/12/2022 02:00;18.0642
01/12/2022 03:00;18.0665
01/12/2022 04:00;18.0744
01/12/2022 05:00;18.0824
01/12/2022 06:00;18.0829
01/12/2022 07:00;18.0842
01/12/2022 08:00;18.074
01/12/2022 09:00;18.0744
01/12/2022 10:00;18.0851
01/12/2022 11:00;18.0842
01/12/2022 12:00;18.0908
01/12/2022 13:00;18.1034
01/12/2022 14:00;18.1671
01/12/2022 15:00;18.1731
01/12/2022 16:00;18.1559
01/12/2022 17:00;18.1542
01/12/2022 18:00;18.1431
01/12/2022 19:00;18.1456
01/12/2022 20:00;18.1347
01/12/2022 21:00;18.1212
01/12/2022 22:00;18.1245
01/12/2022 23:00;18.1221
02/12/2022 00:00;18.125
02/12/2022 01:00;18.1197
02/12/2022 02:00;18.1138
02/12/2022 03:00;18.1088
02/12/2022 04:00;18.1029
02/12/2022 05:00;18.1088
02/12/2022 06:00;18.0957
02/12/2022 07:00;18.0961
02/12/2022 08:00;18.0957
02/12/2022 09:00;18.0759
02/12/2022 10:00;18.0884
02/12/2022 11:00;18.0877
02/12/2022 12:00;18.0819
02/12/2022 13:00;18.0798
02/12/2022 14:00;18.0665
02/12/2022 15:00;18.0685
02/12/2022 16:00;18.0508
02/12/2022 17:00;18.043
02/12/2022 18:00;18.0775
02/12/2022 19:00;18.0979
02/12/2022 20:00;18.1006
02/12/2022 21:00;18.092
02/12/2022 22:00;18.0979
02/12/2022 23:00;18.0798
03/12/2022 00:00;18.0769
03/12/2022 01:00;18.0908
03/12/2022 02:00;18.0853
03/12/2022 03:00;18.0731
03/12/2022 04:00;18.0642
03/12/2022 05:00;18.0359
03/12/2022 06:00;18.0321
03/12/2022 07:00;18.0328
03/12/2022 08:00;18.0262
03/12/2022 09:00;18.0297
03/12/2022 10:00;18.0297
03/12/2022 11:00;18.0321
03/12/2022 12:00;18.0007
03/12/2022 13:00;17.9929
03/12/2022 14:00;18.0036
03/12/2022 15:00;18.0086
03/12/2022 16:00;18.0007
03/12/2022 17:00;17.9952
03/12/2022 18:00;17.9879
03/12/2022 19:00;17.9959
03/12/2022 20:00;18.0042
03/12/2022 21:00;17.9905
03/12/2022 22:00;17.9772
03/12/2022 23:00;17.9954
04/12/2022 00:00;17.9803
04/12/2022 01:00;17.9772
04/12/2022 02:00;17.9758
04/12/2022 03:00;17.9748
04/12/2022 04:00;17.9615
04/12/2022 05:00;17.956
04/12/2022 06:00;17.9482
04/12/2022 07:00;17.9379
04/12/2022 08:00;17.9389
04/12/2022 09:00;17.9462
04/12/2022 10:00;17.9113
04/12/2022 11:00;17.7527
04/12/2022 12:00;17.7108
04/12/2022 13:00;17.6524
04/12/2022 14:00;17.7081
04/12/2022 15:00;17.595
04/12/2022 16:00;17.7819
04/12/2022 17:00;17.8345
04/12/2022 18:00;17.8403
04/12/2022 19:00;17.8239
04/12/2022 20:00;17.7583
04/12/2022 21:00;17.8513
04/12/2022 22:00;17.8847
04/12/2022 23:00;17.8423
05/12/2022 00:00;17.7607
05/12/2022 01:00;17.7874
05/12/2022 02:00;17.7978
05/12/2022 03:00;17.7529
05/12/2022 04:00;17.8219
05/12/2022 05:00;17.9139
05/12/2022 06:00;17.9035
05/12/2022 07:00;17.8533
05/12/2022 08:00;17.843
05/12/2022 09:00;17.8425
05/12/2022 10:00;17.8454
05/12/2022 11:00;17.8493
05/12/2022 12:00;17.856
05/12/2022 13:00;17.8599
05/12/2022 14:00;17.8661
05/12/2022 15:00;17.8535
05/12/2022 16:00;17.8513
05/12/2022 17:00;17.8321
05/12/2022 18:00;17.8273
05/12/2022 19:00;17.8262
05/12/2022 20:00;17.8301
05/12/2022 21:00;17.829
05/12/2022 22:00;17.7905
05/12/2022 23:00;17.7983
06/12/2022 00:00;17.7768
06/12/2022 01:00;17.7797
06/12/2022 02:00;17.7583
06/12/2022 03:00;17.7348
06/12/2022 04:00;17.7038
06/12/2022 05:00;17.7026
06/12/2022 06:00;17.6991
06/12/2022 07:00;17.6712
06/12/2022 08:00;17.6814
06/12/2022 09:00;17.6959
06/12/2022 10:00;17.7105
06/12/2022 11:00;17.7214
06/12/2022 12:00;17.7348
06/12/2022 13:00;17.7515
06/12/2022 14:00;17.747
06/12/2022 15:00;17.7183
06/12/2022 16:00;17.6304
06/12/2022 17:00;17.6445
06/12/2022 18:00;17.6221
06/12/2022 19:00;17.5869
06/12/2022 20:00;17.5471
06/12/2022 21:00;17.5418
06/12/2022 22:00;17.5262
06/12/2022 23:00;17.4917
07/12/2022 00:00;17.4706
07/12/2022 01:00;17.4712
07/12/2022 02:00;17.5047
07/12/2022 03:00;17.5178
07/12/2022 04:00;17.5253
07/12/2022 05:00;17.529
07/12/2022 06:00;17.5219
07/12/2022 07:00;17.5361
07/12/2022 08:00;17.5368
07/12/2022 09:00;17.5314
07/12/2022 10:00;17.5396
07/12/2022 11:00;17.5506
07/12/2022 12:00;17.5628
07/12/2022 13:00;17.5581
07/12/2022 14:00;17.5266
07/12/2022 15:00;17.5102
07/12/2022 16:00;17.4891
07/12/2022 17:00;17.4708
07/12/2022 18:00;17.4595
07/12/2022 19:00;17.4579
07/12/2022 20:00;17.4599
07/12/2022 21:00;17.452
07/12/2022 22:00;17.4491
07/12/2022 23:00;17.4362
08/12/2022 00:00;17.4244
08/12/2022 01:00;17.4198
08/12/2022 02:00;17.4084
08/12/2022 03:00;17.4017
08/12/2022 04:00;17.3858
08/12/2022 05:00;17.3828
08/12/2022 06:00;17.3781
08/12/2022 07:00;17.3413
08/12/2022 08:00;17.349
08/12/2022 09:00;17.3435
08/12/2022 10:00;17.3433
08/12/2022 11:00;17.345
08/12/2022 12:00;17.3199
08/12/2022 13:00;17.3218
08/12/2022 14:00;17.3253
08/12/2022 15:00;17.3277
08/12/2022 16:00;17.3332
08/12/2022 17:00;17.3383
08/12/2022 18:00;17.3435
08/12/2022 19:00;17.3568
08/12/2022 20:00;17.3466
08/12/2022 21:00;17.3517
08/12/2022 22:00;17.3529
08/12/2022 23:00;17.3277
09/12/2022 00:00;17.3346
09/12/2022 01:00;17.3623
09/12/2022 02:00;17.3543
09/12/2022 03:00;17.3438
09/12/2022 04:00;17.3387
09/12/2022 05:00;17.3356
09/12/2022 06:00;17.2537
09/12/2022 07:00;17.2356
09/12/2022 08:00;17.2853
09/12/2022 09:00;17.2709
09/12/2022 10:00;17.1699
09/12/2022 11:00;17.1741
09/12/2022 12:00;17.1136
09/12/2022 13:00;17.0903
09/12/2022 14:00;17.1129
09/12/2022 15:00;17.1486
09/12/2022 16:00;17.1821
09/12/2022 17:00;17.1821
09/12/2022 18:00;17.1852
09/12/2022 19:00;17.2585
09/12/2022 20:00;17.2325
09/12/2022 21:00;17.2301
09/12/2022 22:00;17.238
09/12/2022 23:00;17.2156
10/12/2022 00:00;17.2294
10/12/2022 01:00;17.1959
10/12/2022 02:00;17.1721
10/12/2022 03:00;17.1451
10/12/2022 04:00;17.2034
10/12/2022 05:00;17.2211
10/12/2022 06:00;17.227
10/12/2022 07:00;17.2272
10/12/2022 08:00;17.2354
10/12/2022 09:00;17.2577
10/12/2022 10:00;17.2555
10/12/2022 11:00;17.264
10/12/2022 12:00;17.2774
10/12/2022 13:00;17.2822
10/12/2022 14:00;17.2883
10/12/2022 15:00;17.2664
10/12/2022 16:00;17.2561
10/12/2022 17:00;17.2528
10/12/2022 18:00;17.2514
10/12/2022 19:00;17.2473
10/12/2022 20:00;17.2443
10/12/2022 21:00;17.2248
10/12/2022 22:00;17.2252
10/12/2022 23:00;17.2298
11/12/2022 00:00;17.2136
11/12/2022 01:00;17.222
11/12/2022 02:00;17.2248
11/12/2022 03:00;17.2156
11/12/2022 04:00;17.219
11/12/2022 05:00;17.2003
11/12/2022 06:00;17.153
11/12/2022 07:00;17.1407
11/12/2022 08:00;17.1482
11/12/2022 09:00;17.1565
11/12/2022 10:00;17.1718
11/12/2022 11:00;17.1744
11/12/2022 12:00;17.1845
11/12/2022 13:00;17.1765
11/12/2022 14:00;17.1812
11/12/2022 15:00;17.1723
11/12/2022 16:00;17.1427
11/12/2022 17:00;17.1583
11/12/2022 18:00;17.152
11/12/2022 19:00;17.1688
11/12/2022 20:00;17.1737
11/12/2022 21:00;17.1688
11/12/2022 22:00;17.164
11/12/2022 23:00;17.1688
12/12/2022 00:00;17.1427
12/12/2022 01:00;17.1295
12/12/2022 02:00;17.1425
12/12/2022 03:00;17.034
12/12/2022 04:00;17.0577
12/12/2022 05:00;17.0829
12/12/2022 06:00;17.1002
12/12/2022 07:00;17.0655
12/12/2022 08:00;17.0789
12/12/2022 09:00;17.0921
12/12/2022 10:00;17.0868
12/12/2022 11:00;17.0844
12/12/2022 12:00;17.0927
12/12/2022 13:00;17.1105
12/12/2022 14:00;17.074
12/12/2022 15:00;17.063
12/12/2022 16:00;17.071
12/12/2022 17:00;17.0659
12/12/2022 18:00;17.0655
12/12/2022 19:00;17.0522
12/12/2022 20:00;17.0631
12/12/2022 21:00;17.0511
12/12/2022 22:00;16.9386
12/12/2022 23:00;16.98
13/12/2022 00:00;16.9599
13/12/2022 01:00;17.0175
13/12/2022 02:00;17.0013
13/12/2022 03:00;16.9975
13/12/2022 04:00;16.9276
13/12/2022 05:00;16.9149
13/12/2022 06:00;17.0388
13/12/2022 07:00;17.0552
13/12/2022 08:00;17.0788
13/12/2022 09:00;17.0971
13/12/2022 10:00;17.0896
13/12/2022 11:00;17.0758
13/12/2022 12:00;17.0631
13/12/2022 13:00;17.0582
13/12/2022 14:00;17.0552
13/12/2022 15:00;17.0482
13/12/2022 16:00;17.047
13/12/2022 17:00;17.0443
13/12/2022 18:00;17.0309
13/12/2022 19:00;17.0329
13/12/2022 20:00;17.0478
13/12/2022 21:00;17.0441
13/12/2022 22:00;17.032
13/12/2022 23:00;17.0388
14/12/2022 00:00;17.0285
14/12/2022 01:00;17.0147
14/12/2022 02:00;17.0158
14/12/2022 03:00;17.0121
14/12/2022 04:00;16.981
14/12/2022 05:00;16.9918
14/12/2022 06:00;16.9866
14/12/2022 07:00;16.9835
14/12/2022 08:00;16.9835
14/12/2022 09:00;16.9536
14/12/2022 10:00;16.955
14/12/2022 11:00;16.9652
14/12/2022 12:00;16.9733
14/12/2022 13:00;16.989
14/12/2022 14:00;16.9945
14/12/2022 15:00;16.9859
14/12/2022 16:00;16.9696
14/12/2022 17:00;16.978
14/12/2022 18:00;16.9816
14/12/2022 19:00;16.982
14/12/2022 20:00;16.9709
14/12/2022 21:00;16.9851
14/12/2022 22:00;16.982
14/12/2022 23:00;16.9834
15/12/2022 00:00;16.9921
15/12/2022 01:00;17.0021
15/12/2022 02:00;17.0072
15/12/2022 03:00;16.9883
15/12/2022 04:00;16.9835
15/12/2022 05:00;16.989
15/12/2022 06:00;16.9804
15/12/2022 07:00;16.9766
15/12/2022 08:00;16.9757
15/12/2022 09:00;16.9717
15/12/2022 10:00;16.8613
15/12/2022 11:00;16.9164
15/12/2022 12:00;16.8787
15/12/2022 13:00;16.8187
15/12/2022 14:00;16.811
15/12/2022 15:00;16.8084
15/12/2022 16:00;16.8307
15/12/2022 17:00;16.7684
15/12/2022 18:00;16.8881
15/12/2022 19:00;16.6868
15/12/2022 20:00;16.8215
15/12/2022 21:00;16.8455
15/12/2022 22:00;16.8254
15/12/2022 23:00;16.8163
16/12/2022 00:00;16.8455
16/12/2022 01:00;16.7926
16/12/2022 02:00;16.7926
16/12/2022 03:00;16.7693
16/12/2022 04:00;16.7586
16/12/2022 05:00;16.7287
16/12/2022 06:00;16.6813
16/12/2022 07:00;16.6362
16/12/2022 08:00;16.6513
16/12/2022 09:00;16.7232
16/12/2022 10:00;16.7467
16/12/2022 11:00;16.8005
16/12/2022 12:00;16.8668
16/12/2022 13:00;16.8194
16/12/2022 14:00;16.6654
16/12/2022 15:00;16.7129
16/12/2022 16:00;16.6882
16/12/2022 17:00;16.6835
16/12/2022 18:00;16.7287
16/12/2022 19:00;16.7371
16/12/2022 20:00;16.6951
16/12/2022 21:00;16.7524
16/12/2022 22:00;16.7476
16/12/2022 23:00;16.7871
17/12/2022 00:00;16.8327
17/12/2022 01:00;16.8697
17/12/2022 02:00;16.8688
17/12/2022 03:00;16.8655
17/12/2022 04:00;16.8778
17/12/2022 05:00;16.8431
17/12/2022 06:00;16.8629
17/12/2022 07:00;16.8589
17/12/2022 08:00;16.8599
17/12/2022 09:00;16.8209
17/12/2022 10:00;16.7748
17/12/2022 11:00;16.8115
17/12/2022 12:00;16.8471
17/12/2022 13:00;16.8431
17/12/2022 14:00;16.8486
17/12/2022 15:00;16.8431
17/12/2022 16:00;16.8163
17/12/2022 17:00;16.8016
17/12/2022 18:00;16.7823
17/12/2022 19:00;16.7717
17/12/2022 20:00;16.7669
17/12/2022 21:00;16.761
17/12/2022 22:00;16.7665
17/12/2022 23:00;16.7682
18/12/2022 00:00;16.766
18/12/2022 01:00;16.7741
18/12/2022 02:00;16.7876
18/12/2022 03:00;16.7792
18/12/2022 04:00;16.7761
18/12/2022 05:00;16.7702
18/12/2022 06:00;16.777
18/12/2022 07:00;16.7665
18/12/2022 08:00;16.7524
18/12/2022 09:00;16.7603
18/12/2022 10:00;16.7608
18/12/2022 11:00;16.7682
18/12/2022 12:00;16.7823
18/12/2022 13:00;16.7871
18/12/2022 14:00;16.7713
18/12/2022 15:00;16.7713
18/12/2022 16:00;16.7634
18/12/2022 17:00;16.7636
18/12/2022 18:00;16.7559
18/12/2022 19:00;16.7579
18/12/2022 20:00;16.7473
18/12/2022 21:00;16.7411
18/12/2022 22:00;16.7431
18/12/2022 23:00;16.7421
19/12/2022 00:00;16.7263
19/12/2022 01:00;16.7342
19/12/2022 02:00;16.7496
19/12/2022 03:00;16.748
19/12/2022 04:00;16.7579
19/12/2022 05:00;16.7612
19/12/2022 06:00;16.7476
19/12/2022 07:00;16.7528
19/12/2022 08:00;16.7484
19/12/2022 09:00;16.7456
19/12/2022 10:00;16.75
19/12/2022 11:00;16.7544
19/12/2022 12:00;16.7595
19/12/2022 13:00;16.7583
19/12/2022 14:00;16.7579
19/12/2022 15:00;16.7535
19/12/2022 16:00;16.7452
19/12/2022 17:00;16.7507
19/12/2022 18:00;16.7469
19/12/2022 19:00;16.7423
19/12/2022 20:00;16.7394
19/12/2022 21:00;16.7362
19/12/2022 22:00;16.7386
19/12/2022 23:00;16.7392
20/12/2022 00:00;16.7377
20/12/2022 01:00;16.7382
20/12/2022 02:00;16.739
20/12/2022 03:00;16.7368
20/12/2022 04:00;16.7342
20/12/2022 05:00;16.7366
20/12/2022 06:00;16.7415
20/12/2022 07:00;16.74
20/12/2022 08:00;16.7401
20/12/2022 09:00;16.7445
20/12/2022 10:00;16.7482
20/12/2022 11:00;16.7544
20/12/2022 12:00;16.7535
20/12/2022 13:00;16.7563
20/12/2022 14:00;16.755
20/12/2022 15:00;16.7557
20/12/2022 16:00;16.7552
20/12/2022 17:00;16.75
20/12/2022 18:00;16.7417
20/12/2022 19:00;16.7488
20/12/2022 20:00;16.7421
20/12/2022 21:00;16.7474
20/12/2022 22:00;16.7397
20/12/2022 23:00;16.7342
21/12/2022 00:00;16.719
21/12/2022 01:00;16.7315
21/12/2022 02:00;16.7158
21/12/2022 03:00;16.7089
21/12/2022 04:00;16.7057
21/12/2022 05:00;16.7093
21/12/2022 06:00;16.7125
21/12/2022 07:00;16.7006
21/12/2022 08:00;16.7006
21/12/2022 09:00;16.7186
21/12/2022 10:00;16.7044
21/12/2022 11:00;16.7039
21/12/2022 12:00;16.6872
21/12/2022 13:00;16.6971
21/12/2022 14:00;16.6694
21/12/2022 15:00;16.6837
21/12/2022 16:00;16.7061
21/12/2022 17:00;16.701
21/12/2022 18:00;16.705
21/12/2022 19:00;16.5801
21/12/2022 20:00;16.5667
21/12/2022 21:00;16.6149
21/12/2022 22:00;16.5056
21/12/2022 23:00;16.5129
22/12/2022 00:00;16.5047
22/12/2022 01:00;16.4099
22/12/2022 02:00;16.3618
22/12/2022 03:00;16.3766
22/12/2022 04:00;16.3728
22/12/2022 05:00;16.3491
22/12/2022 06:00;16.3806
22/12/2022 07:00;16.3436
22/12/2022 08:00;16.344
22/12/2022 09:00;16.3436
22/12/2022 10:00;16.3698
22/12/2022 11:00;16.4754
22/12/2022 12:00;16.5619
22/12/2022 13:00;16.5979
22/12/2022 14:00;16.5454
22/12/2022 15:00;16.4869
22/12/2022 16:00;16.373
22/12/2022 17:00;16.3436
22/12/2022 18:00;16.3804
22/12/2022 19:00;16.3768
22/12/2022 20:00;16.3736
22/12/2022 21:00;16.3989
22/12/2022 22:00;16.4283
22/12/2022 23:00;16.5469
23/12/2022 00:00;16.6252
23/12/2022 01:00;16.6654
23/12/2022 02:00;16.6176
23/12/2022 03:00;16.595
23/12/2022 04:00;16.5753
23/12/2022 05:00;16.5801
23/12/2022 06:00;16.5908
23/12/2022 07:00;16.5825
23/12/2022 08:00;16.594
23/12/2022 09:00;16.6197
23/12/2022 10:00;16.6496
23/12/2022 11:00;16.6465
23/12/2022 12:00;16.6426
23/12/2022 13:00;16.659
23/12/2022 14:00;16.6544
23/12/2022 15:00;16.6417
23/12/2022 16:00;16.6228
23/12/2022 17:00;16.6232
23/12/2022 18:00;16.6204
23/12/2022 19:00;16.6152
23/12/2022 20:00;16.5955
23/12/2022 21:00;16.5751
23/12/2022 22:00;16.5658
23/12/2022 23:00;16.5351
24/12/2022 00:00;16.5271
24/12/2022 01:00;16.5674
24/12/2022 02:00;16.5784
24/12/2022 03:00;16.5825
24/12/2022 04:00;16.5722
24/12/2022 05:00;16.5817
24/12/2022 06:00;16.5801
24/12/2022 07:00;16.588
24/12/2022 08:00;16.6015
24/12/2022 09:00;16.603
24/12/2022 10:00;16.6149
24/12/2022 11:00;16.6252
24/12/2022 12:00;16.6351
24/12/2022 13:00;16.6397
24/12/2022 14:00;16.6386
24/12/2022 15:00;16.6197
24/12/2022 16:00;16.5991
24/12/2022 17:00;16.6125
24/12/2022 18:00;16.5872
24/12/2022 19:00;16.6228
24/12/2022 20:00;16.607
24/12/2022 21:00;16.5886
24/12/2022 22:00;16.5801
24/12/2022 23:00;16.5604
25/12/2022 00:00;16.5612
25/12/2022 01:00;16.5712
25/12/2022 02:00;16.5698
25/12/2022 03:00;16.5672
25/12/2022 04:00;16.5738
25/12/2022 05:00;16.5582
25/12/2022 06:00;16.556
25/12/2022 07:00;16.5535
25/12/2022 08:00;16.543
25/12/2022 09:00;16.5457
25/12/2022 10:00;16.5787
25/12/2022 11:00;16.591
25/12/2022 12:00;16.5797
25/12/2022 13:00;16.6015
25/12/2022 14:00;16.5995
25/12/2022 15:00;16.6044
25/12/2022 16:00;16.5991
25/12/2022 17:00;16.5941
25/12/2022 18:00;16.5774
25/12/2022 19:00;16.573
25/12/2022 20:00;16.5722
25/12/2022 21:00;16.5777
25/12/2022 22:00;16.5808
25/12/2022 23:00;16.5746
26/12/2022 00:00;16.5751
26/12/2022 01:00;16.5776
26/12/2022 02:00;16.5698
26/12/2022 03:00;16.5485
26/12/2022 04:00;16.5326
26/12/2022 05:00;16.5335
26/12/2022 06:00;16.5346
26/12/2022 07:00;16.5302
26/12/2022 08:00;16.5218
26/12/2022 09:00;16.5212
26/12/2022 10:00;16.5533
26/12/2022 11:00;16.577
26/12/2022 12:00;16.6193
26/12/2022 13:00;16.6041
26/12/2022 14:00;16.6323
26/12/2022 15:00;16.608
26/12/2022 16:00;16.5825
26/12/2022 17:00;16.5935
26/12/2022 18:00;16.5704
26/12/2022 19:00;16.5691
26/12/2022 20:00;16.5608
26/12/2022 21:00;16.543
26/12/2022 22:00;16.5381
26/12/2022 23:00;16.5421
27/12/2022 00:00;16.5344
27/12/2022 01:00;16.5307
27/12/2022 02:00;16.5172
27/12/2022 03:00;16.5093
27/12/2022 04:00;16.5087
27/12/2022 05:00;16.5192
27/12/2022 06:00;16.5223
27/12/2022 07:00;16.5144
27/12/2022 08:00;16.5137
27/12/2022 09:00;16.5192
27/12/2022 10:00;16.5302
27/12/2022 11:00;16.552
27/12/2022 12:00;16.5793
27/12/2022 13:00;16.6156
27/12/2022 14:00;16.6125
27/12/2022 15:00;16.5843
27/12/2022 16:00;16.5777
27/12/2022 17:00;16.5405
27/12/2022 18:00;16.5271
27/12/2022 19:00;16.5161
27/12/2022 20:00;16.4979
27/12/2022 21:00;16.4924
27/12/2022 22:00;16.4844
27/12/2022 23:00;16.4844
28/12/2022 00:00;16.4776
28/12/2022 01:00;16.4851
28/12/2022 02:00;16.4851
28/12/2022 03:00;16.4892
28/12/2022 04:00;16.4844
28/12/2022 05:00;16.4741
28/12/2022 06:00;16.4741
28/12/2022 07:00;16.4717
28/12/2022 08:00;16.4473
28/12/2022 09:00;16.4473
28/12/2022 10:00;16.4497
28/12/2022 11:00;16.4473
28/12/2022 12:00;16.394
28/12/2022 13:00;16.4131
28/12/2022 14:00;16.4466
28/12/2022 15:00;16.4583
28/12/2022 16:00;16.4559
28/12/2022 17:00;16.4476
28/12/2022 18:00;16.4026
28/12/2022 19:00;16.3982
28/12/2022 20:00;16.42
28/12/2022 21:00;16.4259
28/12/2022 22:00;16.418
28/12/2022 23:00;16.4283
29/12/2022 00:00;16.4279
29/12/2022 01:00;16.4255
29/12/2022 02:00;16.427
29/12/2022 03:00;16.4345
29/12/2022 04:00;16.4279
29/12/2022 05:00;16.4283
29/12/2022 06:00;16.4211
29/12/2022 07:00;16.4219
29/12/2022 08:00;16.4125
29/12/2022 09:00;16.4125
29/12/2022 10:00;16.4075
29/12/2022 11:00;16.4182
29/12/2022 12:00;16.4288
29/12/2022 13:00;16.4368
29/12/2022 14:00;16.4662
29/12/2022 15:00;16.4662
29/12/2022 16:00;16.4314
29/12/2022 17:00;16.467
29/12/2022 18:00;16.4261
29/12/2022 19:00;16.4156
29/12/2022 20:00;16.4052
29/12/2022 21:00;16.4126
29/12/2022 22:00;16.2911
29/12/2022 23:00;16.2177
30/12/2022 00:00;16.176
30/12/2022 01:00;16.1194
30/12/2022 02:00;16.12
30/12/2022 03:00;16.1463
30/12/2022 04:00;16.1359
30/12/2022 05:00;16.1226
30/12/2022 06:00;16.128
30/12/2022 07:00;16.1427
30/12/2022 08:00;16.1897
30/12/2022 09:00;16.1464
30/12/2022 10:00;16.1518
30/12/2022 11:00;16.1776
30/12/2022 12:00;16.216
30/12/2022 13:00;16.1915
30/12/2022 14:00;16.1866
30/12/2022 15:00;16.2069
30/12/2022 16:00;16.2129
30/12/2022 17:00;16.1779
30/12/2022 18:00;16.1304
30/12/2022 19:00;16.12
30/12/2022 20:00;16.1072
30/12/2022 21:00;16.0896
30/12/2022 22:00;16.0772
30/12/2022 23:00;16.0638
31/12/2022 00:00;16.0479
31/12/2022 01:00;16.0589
31/12/2022 02:00;16.0454
31/12/2022 03:00;16.0582
31/12/2022 04:00;16.0451
31/12/2022 05:00;16.0543
31/12/2022 06:00;16.0662
31/12/2022 07:00;16.0853
31/12/2022 08:00;15.976
31/12/2022 09:00;15.9648
31/12/2022 10:00;15.9751
31/12/2022 11:00;15.9947
31/12/2022 12:00;16.025
31/12/2022 13:00;16.0384
31/12/2022 14:00;16.0677
31/12/2022 15:00;16.0499
31/12/2022 16:00;16.0449
31/12/2022 17:00;16.0612
31/12/2022 18:00;16.0534
31/12/2022 19:00;16.043
31/12/2022 20:00;16.0428
31/12/2022 21:00;16.0375
31/12/2022 22:00;16.0344
31/12/2022 23:00;16.0268
