datetime,T_seaF_sf,NA,NA,NA,2022,11
25/11/2022,11:00,19.1625,NA,NA,2022,11
25/11/2022,12:00,19.1894,NA,NA,2022,11
25/11/2022,13:00,19.1696,NA,NA,2022,11
25/11/2022,14:00,19.1532,NA,NA,2022,11
25/11/2022,15:00,19.1286,NA,NA,2022,11
25/11/2022,16:00,19.1288,NA,NA,2022,11
25/11/2022,17:00,19.1364,NA,NA,2022,11
25/11/2022,18:00,19.1415,NA,NA,2022,11
25/11/2022,19:00,19.1376,NA,NA,2022,11
25/11/2022,20:00,19.1233,NA,NA,2022,11
25/11/2022,21:00,19.1262,NA,NA,2022,11
25/11/2022,22:00,19.1123,NA,NA,2022,11
25/11/2022,23:00,19.095,NA,NA,2022,11
26/11/2022,00:00,19.0894,NA,NA,2022,11
26/11/2022,01:00,19.0865,NA,NA,2022,11
26/11/2022,02:00,19.0869,NA,NA,2022,11
26/11/2022,03:00,19.0789,NA,NA,2022,11
26/11/2022,04:00,19.0715,NA,NA,2022,11
26/11/2022,05:00,19.0444,NA,NA,2022,11
26/11/2022,06:00,19.0234,NA,NA,2022,11
26/11/2022,07:00,18.9921,NA,NA,2022,11
26/11/2022,08:00,18.9878,NA,NA,2022,11
26/11/2022,09:00,18.98,NA,NA,2022,11
26/11/2022,10:00,18.9849,NA,NA,2022,11
26/11/2022,11:00,19.0475,NA,NA,2022,11
26/11/2022,12:00,19.0867,NA,NA,2022,11
26/11/2022,13:00,19.1761,NA,NA,2022,11
26/11/2022,14:00,19.1961,NA,NA,2022,11
26/11/2022,15:00,19.1816,NA,NA,2022,11
26/11/2022,16:00,19.1606,NA,NA,2022,11
26/11/2022,17:00,19.1388,NA,NA,2022,11
26/11/2022,18:00,19.1183,NA,NA,2022,11
26/11/2022,19:00,19.1125,NA,NA,2022,11
26/11/2022,20:00,19.0919,NA,NA,2022,11
26/11/2022,21:00,19.0752,NA,NA,2022,11
26/11/2022,22:00,19.0846,NA,NA,2022,11
26/11/2022,23:00,19.1136,NA,NA,2022,11
27/11/2022,00:00,19.1286,NA,NA,2022,11
27/11/2022,01:00,19.1259,NA,NA,2022,11
