"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg"
2002-01-02 09:00:00;50;14.405;38.131;3.71;161.094047197569
2002-01-02 09:00:00;1;14.393;38.125;NA;NA
2002-01-09 09:00:00;50;14.038;38.167;4.05;175.83891630691
2002-01-09 09:00:00;1;14.026;38.168;4.01;174.101664445965
2002-01-16 09:00:00;50;13.867;38.192;5.39;234.004911235706
2002-01-16 09:00:00;1;13.829;38.192;5.38;233.568909131462
2002-01-23 09:00:00;50;13.625;38.195;5.22;226.612494352542
2002-01-23 09:00:00;1;13.712;38.209;5.24;227.482448819473
2002-01-30 09:00:00;50;13.57;38.176;NA;NA
2002-01-30 09:00:00;1;13.6;38.172;5.73;248.75581864401
2002-02-07 09:00:00;50;13.382;38.09;5.54;240.51144399904
2002-02-07 09:00:00;1;13.345;37.985;5.61;243.567831747844
2002-02-13 09:00:00;50;13.363;38.072;5.71;247.894158707505
2002-02-13 09:00:00;1;13.327;38.017;5.94;257.888182635099
2002-02-20 09:00:00;50;13.387;38.097;5.69;247.022436249893
2002-02-20 09:00:00;1;13.074;37.899;5.92;257.029552907149
2002-03-01 09:00:00;50;13.31;38.102;5.71;247.885868867895
2002-03-01 09:00:00;1;13.122;38.069;5.71;247.882567846573
2002-03-08 09:00:00;50;13.24;38.039;5.65;245.28926649993
2002-03-08 09:00:00;1;13.644;38.027;5.62;244.009274967856
2002-03-13 09:00:00;50;NA;NA;5.9;NA
2002-03-13 09:00:00;1;NA;NA;6.18;NA
2002-03-20 09:00:00;50;NA;NA;5.79;NA
2002-03-20 09:00:00;1;NA;NA;5.87;NA
2002-03-27 09:00:00;50;NA;NA;5.79;NA
2002-03-27 09:00:00;1;NA;NA;5.94;NA
2002-04-04 09:00:00;50;13.788;38.004;5.75;249.66540587946
2002-04-04 09:00:00;1;14.224;38.003;5.83;253.16240061882
2002-04-10 09:00:00;50;13.836;37.979;5.7;247.501537734059
2002-04-10 09:00:00;1;13.822;37.982;5.77;250.539732802435
2002-04-18 09:00:00;50;13.726;38;5.81;252.268117686922
2002-04-18 09:00:00;1;14.612;37.94;5.67;246.246640202025
2002-04-24 09:00:00;50;13.731;38;5.76;250.097395312813
2002-04-24 09:00:00;1;15.063;37.852;5.94;258.015025757674
2002-04-30 09:00:00;50;14.555;37.952;6.01;261.007195788942
2002-04-30 09:00:00;1;15.797;37.932;5.83;253.26314338229
2002-05-07 09:00:00;50;15.68;37.838;5.86;254.577621098628
2002-05-07 09:00:00;1;16.185;37.528;5.72;248.581772650052
2002-05-15 09:00:00;50;14.28;37.983;5.69;247.089685247543
2002-05-15 09:00:00;1;18.028;37.33;5.83;253.510118885751
2002-05-22 09:00:00;50;14.329;38.007;5.94;257.944031643032
2002-05-22 09:00:00;1;19.718;37.439;5.58;242.722452394728
2002-05-28 09:00:00;50;14.648;37.966;5.98;259.706800894002
2002-05-28 09:00:00;1;18.612;37.658;5.57;242.179956164014
2002-06-05 09:00:00;50;15.408;37.955;6.05;262.792789820858
2002-06-05 09:00:00;1;20.171;37.668;5.4;234.880349855912
2002-06-12 09:00:00;50;15.66;37.887;5.99;260.214514184712
2002-06-12 09:00:00;1;19.982;37.633;5.16;224.435981732793
2002-06-19 09:00:00;50;14.665;37.904;5.93;257.54828673024
2002-06-19 09:00:00;1;21.49;37.457;5.05;219.768529477979
2002-06-26 09:00:00;50;14.864;37.86;6.06;263.214425922625
2002-06-26 09:00:00;1;25.403;37.504;5.73;249.633366345598
2002-07-02 09:00:00;50;14.925;37.902;5.95;258.431886426324
2002-07-02 09:00:00;1;23.905;37.717;5.09;221.61753156647
2002-07-10 09:00:00;50;14.835;37.882;5.7;247.572271565215
2002-07-10 09:00:00;1;22.715;37.766;5.22;227.191845627207
2002-07-18 09:00:00;50;15.241;37.863;5.9;256.285475159516
2002-07-18 09:00:00;1;23.942;37.642;4.87;212.052824945125
2002-07-24 09:00:00;50;15.447;37.827;6.16;267.598867056156
2002-07-24 09:00:00;1;25.045;37.668;5.7;248.269531761777
2002-07-31 09:00:00;50;14.364;37.924;5.79;251.447866538413
2002-07-31 09:00:00;1;24.989;37.615;4.85;211.251598368663
2002-08-07 09:00:00;50;16.16;37.739;6;260.70739585125
2002-08-07 09:00:00;1;23.199;37.826;5.06;220.248638971941
2002-08-14 09:00:00;50;14.963;37.884;5.64;244.972712913659
2002-08-14 09:00:00;1;23.62;37.779;4.92;214.188208653924
2002-08-21 09:00:00;50;15.77;37.818;5.95;258.496629900216
2002-08-21 09:00:00;1;24.363;37.764;4.99;217.285200087636
2002-08-28 09:00:00;50;15.012;37.845;5.74;249.326176078123
