"datetime";"PROF_NUM";"T";"S";"O";"oxy_umol_kg";"year";"month";"year.month"
2002-01-09 09:00:00;"50";14.038;38.167;4.05;175.83891630691;"2002";"01";"2002-01"
2002-01-16 09:00:00;"50";13.867;38.192;5.39;234.004911235706;"2002";"01";"2002-01"
2002-01-23 09:00:00;"50";13.625;38.195;5.22;226.612494352542;"2002";"01";"2002-01"
2002-01-30 09:00:00;"50";13.57;38.176;5.38;233.559157639163;"2002";"01";"2002-01"
2002-02-07 09:00:00;"50";13.382;38.09;5.54;240.51144399904;"2002";"02";"2002-02"
2002-02-13 09:00:00;"50";13.363;38.072;5.71;247.894158707505;"2002";"02";"2002-02"
2002-02-20 09:00:00;"50";13.387;38.097;5.69;247.022436249893;"2002";"02";"2002-02"
2002-02-27 09:00:00;"50";13.3505300306806;38.0995;5.7;247.454257849599;"2002";"02";"2002-02"
2002-03-01 09:00:00;"50";13.31;38.102;5.71;247.885868867895;"2002";"03";"2002-03"
2002-03-08 09:00:00;"50";13.24;38.039;5.65;245.28926649993;"2002";"03";"2002-03"
2002-03-13 09:00:00;"50";13.4324073931552;38.03025;5.9;256.154527107208;"2002";"03";"2002-03"
2002-03-20 09:00:00;"50";13.5677441409954;38.0215;5.79;251.387419240136;"2002";"03";"2002-03"
2002-03-27 09:00:00;"50";13.6606120829988;38.01275;5.79;251.393901590724;"2002";"03";"2002-03"
2002-04-04 09:00:00;"50";13.788;38.004;5.75;249.66540587946;"2002";"04";"2002-04"
2002-04-10 09:00:00;"50";13.836;37.979;5.7;247.501537734059;"2002";"04";"2002-04"
2002-04-18 09:00:00;"50";13.726;38;5.81;252.268117686922;"2002";"04";"2002-04"
2002-04-24 09:00:00;"50";13.731;38;5.76;250.097395312813;"2002";"04";"2002-04"
2002-04-30 09:00:00;"50";14.555;37.952;6.01;261.007195788942;"2002";"04";"2002-04"
2002-05-07 09:00:00;"50";15.68;37.838;5.86;254.577621098628;"2002";"05";"2002-05"
2002-05-15 09:00:00;"50";14.28;37.983;5.69;247.089685247543;"2002";"05";"2002-05"
2002-05-22 09:00:00;"50";14.329;38.007;5.94;257.944031643032;"2002";"05";"2002-05"
2002-05-28 09:00:00;"50";14.648;37.966;5.98;259.706800894002;"2002";"05";"2002-05"
2002-06-05 09:00:00;"50";15.408;37.955;6.05;262.792789820858;"2002";"06";"2002-06"
2002-06-12 09:00:00;"50";15.66;37.887;5.99;260.214514184712;"2002";"06";"2002-06"
2002-06-19 09:00:00;"50";14.665;37.904;5.93;257.54828673024;"2002";"06";"2002-06"
2002-06-26 09:00:00;"50";14.864;37.86;6.06;263.214425922625;"2002";"06";"2002-06"
