"datetime";"depth";"temperature";"salinity";"ta";"dic";"NO2";"NO3";"Chla";"pH_s_somlit_temp_25";"pH_s_somlit_temp_insi";"diff_pH";"pH_insi";"Pt";"Sit";"quarter";"monthd";"week";"Patm";"P";"pH_calc";"CO2";"fCO2";"pCO2_w";"fCO2pot";"pCO2pot";"fCO2insitu";"pCO2insitu";"HCO3";"CO3";"OmegaAragonite";"OmegaCalcite";"pH_18";"Nta";"Ndic";"Year.Month";"Year";"Month";"impute_temp";"impute_sal";"impute_pco2_w";"impute_ta";"impute_dic";"impute_Pt";"impute_Sit"
2007-01-02;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.12639744792392;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.09219644002347;NA;NA;"2007-01";2007;"01";15.7837330493371;38.17;344.26181231099;2561.29645368238;2246.63082545906;0.15363968006863;2.13539707234627
2007-01-09;50;15.5;38.17;2561.31216;2248.09953;NA;NA;0.282;NA;NA;NA;NA;NA;NA;1;1;2;1;5;8.12846712660914;1.25374960314061e-05;345.839948231567;347.085868378431;345.758197193229;347.00394767484;348.175040400975;355.685514040847;0.00201462561748074;0.00022093641648785;3.29585877627376;5.10699719018255;8.08987472905805;2549.90469164265;2238.08703536809;"2007-01";2007;"01";15.5;38.17;347.085868378431;2561.31216;2248.09953;0.15363968006863;2.13539707234627
2007-01-16;50;15.46;38.22;2564.61282;2254.60083;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;5;8.12293732486633;1.27581296464116e-05;351.603200649762;352.87053472279;351.520142195939;352.787303738152;353.977536114701;361.617136293472;0.00202290739844807;0.00021893530190551;3.26455135012702;5.05881222245304;8.08374725322403;2549.85052747253;2241.62301255887;"2007-01";2007;"01";15.46;38.22;352.87053472279;2564.61282;2254.60083;0.15363968006863;2.13539707234627
2007-01-23;50;15.44;38.25;2569.0137;2255.00091;0.19;0.273;0.25;NA;NA;NA;NA;0.15363968006863;2.13539707234627;1;1;4;1;5;8.1287039053966;1.25917561176545e-05;346.86848152947;348.119060404468;346.786565940127;348.036974588241;349.21100686603;356.749625302325;0.00202097292559526;0.00022143622828708;3.3009902635487;5.11543301438565;8.0891798091038;2552.22276078431;2240.26234196078;"2007-01";2007;"01";15.44;38.25;348.119060404468;2569.0137;2255.00091;0.15363968006863;2.13539707234627
2007-01-30;50;14.96;38.18;2560.96209;2252.25036;0.213;0.48;0.346;NA;NA;NA;NA;0.319903461388517;2.68757801604213;1;1;5;1;5;8.12924261486038;1.27301442071033e-05;345.521685048126;346.775026993263;345.441118762575;346.694291450872;347.85901567703;355.414786189388;0.00202206171061763;0.00021745850517526;3.23965162323058;5.02584725114838;8.08229700795732;2548.88840806705;2241.63210267156;"2007-01";2007;"01";14.96;38.18;346.775026993263;2560.96209;2252.25036;0.319903461388517;2.68757801604213
2007-02-06;50;14.76;38.18;2561.71224;2254.10073;0.28;0.578;0.512;NA;NA;NA;NA;0.12445549340263;2.27520198876683;1;2;6;1;5;8.13080772821447;1.27594061459809e-05;344.227369556781;345.479196388832;344.147527406899;345.399185747914;346.557567638425;354.104411718661;0.00202450682194449;0.00021683450190952;3.22889053356597;5.01132298475461;8.08076222496523;2549.63502147721;2243.47374908329;"2007-02";2007;"02";14.76;38.18;345.479196388832;2561.71224;2254.10073;0.12445549340263;2.27520198876683
2007-02-13;50;NA;NA;NA;NA;NA;NA;0.436;NA;NA;NA;NA;NA;NA;1;2;7;NA;NA;8.12618274718421;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.07443819659478;NA;NA;"2007-02";2007;"02";14.6484557870859;38.145;347.994383920547;2558.11061270621;2254.98695827951;0.102090465982797;2.2634797487238
2007-02-20;50;14.29;38.11;2555.511;2252.80047;0.281;0.281;NA;NA;NA;NA;NA;0.0797254385629631;2.25175750868076;1;2;8;1;5;8.13186172001658;1.28891902907886e-05;342.65686999587;343.910468687532;342.578444630954;343.831876060998;344.980242413209;352.538259269655;0.00202654962533905;0.00021336165437015;3.17540773218401;4.93343317549753;8.07454102686841;2548.13482025715;2246.29802833902;"2007-02";2007;"02";14.29;38.11;343.910468687532;2555.511;2252.80047;0.0797254385629631;2.25175750868076
2007-02-27;50;NA;NA;NA;NA;0.33;0.682;0.397;NA;NA;NA;NA;NA;NA;1;2;9;NA;NA;8.12582012534117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.06999799684573;NA;NA;"2007-02";2007;"02";14.384585410029;38.1175;345.186672151839;2555.85900490251;2255.86201236551;0.081183085874955;2.21965554462801
2007-03-06;50;NA;NA;NA;NA;0.104;0.37;0.602;NA;NA;NA;NA;NA;NA;1;3;10;NA;NA;8.12725834766199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8.06758530394254;NA;NA;"2007-03";2007;"03";14.1361746951263;38.125;346.808067980819;2554.5784822138;2256.1037250805;0.0826407331869468;2.18755358057526
