"datetime";"hour";"depth";"T";"S";"Month";"Year";"year.month"
1995-01-18;08:00:00;50;13.83;38.087;"01";"1995";"1995-01"
1995-01-18;08:00:00;0;14.037;38.036;"01";"1995";"1995-01"
1995-01-26;08:00:00;50;13.864;38.102;"01";"1995";"1995-01"
1995-01-26;08:00:00;0;13.853;38.175;"01";"1995";"1995-01"
1995-02-01;08:00:00;50;13.877;38.13;"02";"1995";"1995-02"
1995-02-01;08:00:00;0;13.876;38.191;"02";"1995";"1995-02"
1995-02-08;08:00:00;0;13.708;38.118;"02";"1995";"1995-02"
1995-02-08;08:00:00;50;13.735;38.121;"02";"1995";"1995-02"
1995-02-15;08:00:00;50;13.654;38.181;"02";"1995";"1995-02"
1995-02-15;08:00:00;0;13.567;38.172;"02";"1995";"1995-02"
1995-02-22;08:00:00;50;13.548;38.154;"02";"1995";"1995-02"
1995-02-22;08:00:00;0;13.521;37.893;"02";"1995";"1995-02"
1995-03-01;08:00:00;50;13.3;38.123;"03";"1995";"1995-03"
1995-03-01;08:00:00;0;13.232;38.089;"03";"1995";"1995-03"
1995-03-08;08:00:00;50;13.019;38.085;"03";"1995";"1995-03"
1995-03-08;08:00:00;0;12.965;38.045;"03";"1995";"1995-03"
1995-03-15;08:00:00;50;12.931;38.051;"03";"1995";"1995-03"
1995-03-15;08:00:00;0;12.864;38.046;"03";"1995";"1995-03"
1995-03-22;08:00:00;50;12.946;38.025;"03";"1995";"1995-03"
1995-03-22;08:00:00;0;13.093;37.972;"03";"1995";"1995-03"
1995-03-29;07:00:00;0;13.015;38.014;"03";"1995";"1995-03"
1995-03-29;07:00:00;50;13.002;38.037;"03";"1995";"1995-03"
1995-04-05;07:00:00;50;13.017;38.063;"04";"1995";"1995-04"
1995-04-05;07:00:00;0;13.689;37.974;"04";"1995";"1995-04"
1995-04-11;07:00:00;50;13.482;38.08;"04";"1995";"1995-04"
1995-04-11;07:00:00;0;13.844;38.034;"04";"1995";"1995-04"
1995-04-19;07:00:00;50;13.595;38.064;"04";"1995";"1995-04"
1995-04-19;07:00:00;0;14.188;38.093;"04";"1995";"1995-04"
1995-04-26;07:00:00;50;13.903;38.036;"04";"1995";"1995-04"
1995-04-26;07:00:00;0;13.932;37.947;"04";"1995";"1995-04"
1995-05-03;07:00:00;50;14.041;38.018;"05";"1995";"1995-05"
1995-05-03;07:00:00;0;16.502;37.774;"05";"1995";"1995-05"
1995-05-10;07:00:00;50;13.818;38.037;"05";"1995";"1995-05"
1995-05-10;07:00:00;0;17.413;37.728;"05";"1995";"1995-05"
1995-05-17;07:00:00;50;14.355;37.993;"05";"1995";"1995-05"
1995-05-17;07:00:00;0;16.825;37.724;"05";"1995";"1995-05"
