"datetime";"depth";"temperature";"salinity"
1995-01-18;"0";14.037;38.036
1995-01-18;"50";13.83;38.087
1995-01-26;"0";13.853;38.175
1995-01-26;"50";13.864;38.102
1995-02-01;"0";13.876;38.191
1995-02-01;"50";13.877;38.13
1995-02-08;"0";13.708;38.118
1995-02-08;"50";13.735;38.121
1995-02-15;"0";13.567;38.172
1995-02-15;"50";13.654;38.181
1995-02-22;"0";13.521;37.893
1995-02-22;"50";13.548;38.154
1995-03-01;"0";13.232;38.089
1995-03-01;"50";13.3;38.123
1995-03-08;"0";12.965;38.045
1995-03-08;"50";13.019;38.085
1995-03-15;"0";12.864;38.046
1995-03-15;"50";12.931;38.051
1995-03-22;"0";13.093;37.972
1995-03-22;"50";12.946;38.025
1995-03-29;"0";13.015;38.014
1995-03-29;"50";13.002;38.037
1995-04-05;"0";13.689;37.974
1995-04-05;"50";13.017;38.063
1995-04-11;"0";13.844;38.034
1995-04-11;"50";13.482;38.08
1995-04-19;"0";14.188;38.093
1995-04-19;"50";13.595;38.064
1995-04-26;"0";13.932;37.947
1995-04-26;"50";13.903;38.036
1995-05-03;"0";16.502;37.774
1995-05-03;"50";14.041;38.018
1995-05-10;"0";17.413;37.728
1995-05-10;"50";13.818;38.037
1995-05-17;"0";16.825;37.724
1995-05-17;"50";14.355;37.993
1995-05-24;"0";18.058;37.641
1995-05-24;"50";14.326;38.018
1995-05-31;"0";17.549;37.736
1995-05-31;"50";13.605;38.137
1995-06-07;"0";19.469;37.729
1995-06-07;"50";14.529;38.082
1995-06-14;"0";18.589;37.95
1995-06-14;"50";14.841;38.107
1995-06-21;"0";21.835;37.786
1995-06-21;"50";14.91;38.093
1995-06-29;"0";20.947;37.959
1995-06-29;"50";14.082;38.146
1995-07-05;"0";22.37;37.971
1995-07-05;"50";14.05;38.15
1995-07-19;"0";25.308;37.726
1995-07-19;"50";15.757;38.056
1995-07-26;"0";26.833;38.397
1995-07-26;"50";15.235;38.191
1995-08-02;"0";26.179;38.066
1995-08-02;"50";15.046;38.001
1995-08-09;"0";23.525;38.143
1995-08-09;"50";16.234;37.993
1995-08-16;"0";25.297;38.195
1995-08-16;"50";16.093;37.966
1995-08-23;"0";24.855;38.315
1995-08-23;"50";16.509;37.98
1995-08-30;"0";24.138;38.264
1995-08-30;"50";16.846;37.955
1995-09-06;"0";22.266;38.162
1995-09-06;"50";17.787;37.677
1995-09-13;"0";21.889;37.672
1995-09-13;"50";15.561;37.962
1995-09-21;"0";21.183;38.022
1995-09-21;"50";15.997;37.761
1995-09-27;"0";21.073;38.072
1995-09-27;"50";18.951;38.054
1995-10-04;"0";20.618;38.044
1995-10-04;"50";20.253;38.017
1995-10-11;"0";20.434;37.782
1995-10-11;"50";18.713;38.002
1995-10-18;"0";20.303;37.545
1995-10-18;"50";18.545;37.988
1995-10-24;"0";20.21;37.949
1995-10-24;"50";19.269;37.821
1995-10-31;"0";19.708;38.046
1995-10-31;"50";19.318;38.141
