"datetime";"depth";"temperature";"salinity";"impute_temp";"impute_sal"
1995-01-18;50;13.83;38.087;13.83;38.087
1995-01-26;50;13.864;38.102;13.864;38.102
1995-02-01;50;13.877;38.13;13.877;38.13
1995-02-08;50;13.735;38.121;13.735;38.121
1995-02-15;50;13.654;38.181;13.654;38.181
1995-02-22;50;13.548;38.154;13.548;38.154
1995-03-01;50;13.3;38.123;13.3;38.123
1995-03-08;50;13.019;38.085;13.019;38.085
1995-03-15;50;12.931;38.051;12.931;38.051
1995-03-22;50;12.946;38.025;12.946;38.025
1995-03-29;50;13.002;38.037;13.002;38.037
1995-04-05;50;13.017;38.063;13.017;38.063
1995-04-11;50;13.482;38.08;13.482;38.08
1995-04-19;50;13.595;38.064;13.595;38.064
1995-04-26;50;13.903;38.036;13.903;38.036
1995-05-03;50;14.041;38.018;14.041;38.018
1995-05-10;50;13.818;38.037;13.818;38.037
1995-05-17;50;14.355;37.993;14.355;37.993
1995-05-24;50;14.326;38.018;14.326;38.018
1995-05-31;50;13.605;38.137;13.605;38.137
1995-06-07;50;14.529;38.082;14.529;38.082
1995-06-14;50;14.841;38.107;14.841;38.107
1995-06-21;50;14.91;38.093;14.91;38.093
1995-06-29;50;14.082;38.146;14.082;38.146
1995-07-05;50;14.05;38.15;14.05;38.15
1995-07-19;50;15.757;38.056;15.757;38.056
1995-07-26;50;15.235;38.191;15.235;38.191
1995-08-02;50;15.046;38.001;15.046;38.001
1995-08-09;50;16.234;37.993;16.234;37.993
1995-08-16;50;16.093;37.966;16.093;37.966
1995-08-23;50;16.509;37.98;16.509;37.98
1995-08-30;50;16.846;37.955;16.846;37.955
1995-09-06;50;17.787;37.677;17.787;37.677
1995-09-13;50;15.561;37.962;15.561;37.962
1995-09-21;50;15.997;37.761;15.997;37.761
1995-09-27;50;18.951;38.054;18.951;38.054
1995-10-04;50;20.253;38.017;20.253;38.017
1995-10-11;50;18.713;38.002;18.713;38.002
1995-10-18;50;18.545;37.988;18.545;37.988
1995-10-24;50;19.269;37.821;19.269;37.821
1995-10-31;50;19.318;38.141;19.318;38.141
1995-11-09;50;16.719;38.028;16.719;38.028
1995-11-15;50;17.944;38.166;17.944;38.166
1995-11-29;50;16.259;38.103;16.259;38.103
1995-12-06;50;16.084;38.143;16.084;38.143
1995-12-13;50;15.58;38.152;15.58;38.152
1995-12-19;50;15.165;38.148;15.165;38.148
1995-12-29;50;14.917;38.174;14.917;38.174
1996-01-03;50;14.785;38.134;14.785;38.134
1996-01-10;50;14.259;38.053;14.259;38.053
1996-01-17;50;14.315;37.98;14.315;37.98
1996-01-24;50;14.394;38.05;14.394;38.05
1996-02-01;50;14.206;38.065;14.206;38.065
1996-02-08;50;13.888;38.018;13.888;38.018
1996-02-13;50;13.739;38.073;13.739;38.073
1996-02-21;50;13.589;38.059;13.589;38.059
1996-02-28;50;13.492;38.057;13.492;38.057
1996-03-06;50;13.385;38.068;13.385;38.068
1996-03-13;50;13.307;38.082;13.307;38.082
1996-03-20;50;13.307;38.112;13.307;38.112
1996-03-27;50;13.393;38.129;13.393;38.129
1996-04-03;50;13.668;38.079;13.668;38.079
1996-04-10;50;13.618;38.044;13.618;38.044
1996-04-17;50;14.076;38;14.076;38
1996-04-24;50;14.524;37.956;14.524;37.956
1996-04-30;50;14.654;37.961;14.654;37.961
1996-05-07;50;13.87;38.03;13.87;38.03
1996-05-15;50;14.407;37.951;14.407;37.951
1996-05-22;50;14.242;37.992;14.242;37.992
1996-05-29;50;15.496;37.893;15.496;37.893
1996-06-05;50;15.02;37.816;15.02;37.816
1996-06-12;50;14.796;37.977;14.796;37.977
1996-06-19;50;14.416;37.982;14.416;37.982
1996-06-26;50;14.824;38.015;14.824;38.015
1996-07-03;50;15.585;37.941;15.585;37.941
1996-07-10;50;15.285;37.955;15.285;37.955
1996-07-17;50;14.463;37.961;14.463;37.961
1996-07-26;50;14.633;37.949;14.633;37.949
1996-07-31;50;15.278;37.944;15.278;37.944
1996-08-07;50;14.37;38.009;14.37;38.009
1996-08-14;50;17.924;37.957;17.924;37.957
1996-08-21;50;14.807;37.97;14.807;37.97
1996-08-28;50;14.265;37.996;14.265;37.996
1996-09-04;50;15.921;37.954;15.921;37.954
1996-09-11;50;15.671;37.92;15.671;37.92
1996-09-18;50;15.579;37.963;15.579;37.963
1996-09-25;50;17.436;37.933;17.436;37.933
1996-10-03;50;16.001;37.938;16.001;37.938
1996-10-10;50;20.006;38.061;20.006;38.061
