Date;Time;JulianDay;Depth;T;q_T;S;q_S;Sigma;q_Sigma
2022-01-11;07:41:18;11;1;14.8824;2;38.1173;2;28.4043;2
2022-01-11;07:41:32;11;10;14.9008;2;38.111;2;28.3953;2
2022-01-11;07:41:44;11;20;14.8995;2;38.1116;2;28.396;2
2022-01-11;07:41:57;11;30;14.8985;2;38.1109;2;28.3957;2
2022-01-11;07:42:22;11;50;14.8961;2;38.1118;2;28.3969;2
2022-01-11;07:42:54;11;75;14.8873;2;38.1096;2;28.3972;2
2022-01-18;07:35:37;18;1;14.5519;2;38.1164;2;28.4772;2
2022-01-18;07:35:58;18;10;14.5519;2;38.1174;2;28.478;2
2022-01-18;07:36:20;18;20;14.5515;2;38.1175;2;28.4782;2
2022-01-18;07:36:43;18;30;14.5432;2;38.1176;2;28.4801;2
2022-01-18;07:37:26;18;50;14.5081;2;38.1481;2;28.5114;2
2022-01-18;07:38:38;18;75;14.4014;2;38.198;2;28.5735;2
2022-01-25;08:09:00;25;1;14.1934;2;38.1287;2;28.5655;2
2022-01-25;08:09:18;25;10;14.2864;2;38.136;2;28.5509;2
2022-01-25;08:09:26;25;20;14.2929;2;38.1441;2;28.5557;2
2022-01-25;08:09:35;25;30;14.2826;2;38.1448;2;28.5585;2
2022-01-25;08:12:06;25;50;14.2755;2;38.1447;2;28.5599;2
2022-01-25;08:12:38;25;75;14.2718;2;38.144;2;28.5602;2
2022-02-01;07:48:19;32;1;14.158;2;38.1524;2;28.5915;2
2022-02-01;07:48:36;32;10;14.1832;2;38.1462;2;28.5813;2
2022-02-01;07:48:54;32;20;14.1841;2;38.1462;2;28.5811;2
2022-02-01;07:49:13;32;30;14.1826;2;38.1464;2;28.5816;2
2022-02-01;07:49:49;32;50;14.1819;2;38.1475;2;28.5826;2
2022-02-01;07:50:36;32;75;14.1792;2;38.1476;2;28.5832;2
2022-02-08;08:03:30;39;1;14.1643;2;38.1502;2;28.5885;2
2022-02-08;08:03:48;39;10;14.1613;2;38.1593;2;28.5962;2
2022-02-08;08:04:07;39;20;14.1595;2;38.1596;2;28.5968;2
2022-02-08;08:04:26;39;30;14.1566;2;38.1599;2;28.5977;2
2022-02-08;08:05:04;39;50;14.1535;2;38.1598;2;28.5983;2
2022-02-08;08:05:52;39;75;14.1515;2;38.1596;2;28.5986;2
2022-02-15;07:56:30;46;1;13.883;2;38.2096;2;28.6954;2
2022-02-15;07:56:48;46;10;13.8701;2;38.1804;2;28.6756;2
2022-02-15;07:57:06;46;20;13.9383;2;38.1975;2;28.6742;2
2022-02-15;07:57:26;46;30;13.9566;2;38.2135;2;28.6825;2
2022-02-15;07:58:04;46;50;13.9635;2;38.2241;2;28.6893;2
2022-02-15;07:58:53;46;75;13.9122;2;38.2137;2;28.6923;2
2022-02-22;07:56:26;53;1;13.8546;2;38.1949;2;28.6902;2
2022-02-22;07:56:45;53;10;13.8542;2;38.1991;2;28.6935;2
