DATE;HEURE;PROF_NUM;T;S;O
09/01/2002;09:00:00;50.00;14.038;38.167;4.05
09/01/2002;09:00:00;1.00;14.026;38.168;4.01
16/01/2002;09:00:00;50.00;13.867;38.192;5.39
16/01/2002;09:00:00;1.00;13.829;38.192;5.38
23/01/2002;09:00:00;50.00;13.625;38.195;5.22
23/01/2002;09:00:00;1.00;13.712;38.209;5.24
30/01/2002;09:00:00;50.00;13.570;38.176;999999
30/01/2002;09:00:00;1.00;13.600;38.172;5.73
07/02/2002;09:00:00;50.00;13.382;38.090;5.54
07/02/2002;09:00:00;1.00;13.345;37.985;5.61
13/02/2002;09:00:00;50.00;13.363;38.072;5.71
13/02/2002;09:00:00;1.00;13.327;38.017;5.94
20/02/2002;09:00:00;50.00;13.387;38.097;5.69
20/02/2002;09:00:00;1.00;13.074;37.899;5.92
01/03/2002;09:00:00;50.00;13.310;38.102;5.71
01/03/2002;09:00:00;1.00;13.122;38.069;5.71
08/03/2002;09:00:00;50.00;13.240;38.039;5.65
08/03/2002;09:00:00;1.00;13.644;38.027;5.62
13/03/2002;09:00:00;50.00;999999;999999;5.90
13/03/2002;09:00:00;1.00;999999;999999;6.18
20/03/2002;09:00:00;50.00;999999;999999;5.79
20/03/2002;09:00:00;1.00;999999;999999;5.87
27/03/2002;09:00:00;50.00;999999;999999;5.79
27/03/2002;09:00:00;1.00;999999;999999;5.94
04/04/2002;09:00:00;50.00;13.788;38.004;5.75
04/04/2002;09:00:00;1.00;14.224;38.003;5.83
10/04/2002;09:00:00;50.00;13.836;37.979;5.70
10/04/2002;09:00:00;1.00;13.822;37.982;5.77
18/04/2002;09:00:00;50.00;13.726;38.000;5.81
18/04/2002;09:00:00;1.00;14.612;37.940;5.67
24/04/2002;09:00:00;50.00;13.731;38.000;5.76
24/04/2002;09:00:00;1.00;15.063;37.852;5.94
30/04/2002;09:00:00;50.00;14.555;37.952;6.01
30/04/2002;09:00:00;1.00;15.797;37.932;5.83
07/05/2002;09:00:00;50.00;15.680;37.838;5.86
07/05/2002;09:00:00;1.00;16.185;37.528;5.72
15/05/2002;09:00:00;50.00;14.280;37.983;5.69
15/05/2002;09:00:00;1.00;18.028;37.330;5.83
22/05/2002;09:00:00;50.00;14.329;38.007;5.94
22/05/2002;09:00:00;1.00;19.718;37.439;5.58
28/05/2002;09:00:00;50.00;14.648;37.966;5.98
28/05/2002;09:00:00;1.00;18.612;37.658;5.57
05/06/2002;09:00:00;50.00;15.408;37.955;6.05
05/06/2002;09:00:00;1.00;20.171;37.668;5.40
12/06/2002;09:00:00;50.00;15.660;37.887;5.99
12/06/2002;09:00:00;1.00;19.982;37.633;5.16
19/06/2002;09:00:00;50.00;14.665;37.904;5.93
19/06/2002;09:00:00;1.00;21.490;37.457;5.05
26/06/2002;09:00:00;50.00;14.864;37.860;6.06
26/06/2002;09:00:00;1.00;25.403;37.504;5.73
02/07/2002;09:00:00;50.00;14.925;37.902;5.95
02/07/2002;09:00:00;1.00;23.905;37.717;5.09
10/07/2002;09:00:00;50.00;14.835;37.882;5.70
10/07/2002;09:00:00;1.00;22.715;37.766;5.22
18/07/2002;09:00:00;50.00;15.241;37.863;5.90
18/07/2002;09:00:00;1.00;23.942;37.642;4.87
24/07/2002;09:00:00;50.00;15.447;37.827;6.16
24/07/2002;09:00:00;1.00;25.045;37.668;5.70
31/07/2002;09:00:00;50.00;14.364;37.924;5.79
31/07/2002;09:00:00;1.00;24.989;37.615;4.85
07/08/2002;09:00:00;50.00;16.160;37.739;6.00
07/08/2002;09:00:00;1.00;23.199;37.826;5.06
14/08/2002;09:00:00;50.00;14.963;37.884;5.64
14/08/2002;09:00:00;1.00;23.620;37.779;4.92
21/08/2002;09:00:00;50.00;15.770;37.818;5.95
