sampling_date,depth,salinity,temperature,ta,dic,NO2,NO3,Chla,pH_s_somlit_temp_25,pH_s_somlit_temp_insi,diff_pH,pH_insi,Pt,Sit,year,quarter,monthd,month,week,CSC_flag,Patm,P,pH_calc,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,OmegaAragonite,OmegaCalcite,Nta,Ndic,pH18
2007-01-09T00:00:00Z,0,38.16,15.46,2561.8622699999996,2248.9497,0.077,0.438,0.416,NA,NA,NA,NA,0.07779784419911809,1.7251671951154437,2007,1,1,January,2,15,1,0,8.130583525950549,1.256729636634761e-5,346.228111052527,347.4760634596125,346.228111052527,347.4760634596125,346.228111052527,347.4760651907224,0.0020155868576091003,2.20795546024552e-4,3.319678141538184,5.147391299070119,2551.120709119497,2239.5201415094343,8.091365102482957
2007-01-09T00:00:00Z,50,38.17,15.5,2561.31216,2248.09953,NA,NA,0.282,NA,NA,NA,NA,NA,NA,2007,1,1,January,2,15,1,5,8.128829003841108,1.2537496031406093e-5,345.8399482315666,347.0858683784306,345.7581971932286,347.0039476748396,348.1750404009749,355.6855140408466,0.0020146256174807435,2.2093641648785042e-4,3.2958587762737594,5.10699719018255,2549.904691642651,2238.08703536809,8.090237962000323
2007-01-16T00:00:00Z,0,38.21,15.45,2565.31296,2252.90049,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,January,3,15,1,0,8.129110832104093,1.2634186749970498e-5,348.0638436004211,349.318574562891,348.0638436004211,349.318574562891,348.0638436004211,349.3185763127778,0.0020196270076989747,2.2063929555105516e-4,3.3160943227979733,5.141822253737264,2551.2141449882233,2240.518676262758,8.089744152994134
2007-01-16T00:00:00Z,50,38.22,15.46,2564.61282,2254.6008300000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,January,3,15,1,5,8.123299545990252,1.2758129646411593e-5,351.60320064976236,352.87053472278956,351.52014219593923,352.7873037381521,353.9775361147012,361.6171362934718,0.002022907398448073,2.189353019055153e-4,3.264551350127024,5.0588122224530405,2549.8505274725276,2241.62301255887,8.084110826371015
2007-01-23T00:00:00Z,0,38.24,15.42,2566.3131599999997,2253.1005299999997,0.198,0.299,0.301,NA,NA,NA,NA,0.09432338155735803,1.5480703447351958,2007,1,1,January,4,15,1,0,8.130136259931344,1.2609757907189398e-5,347.13709094361576,348.3889563864119,347.13709094361576,348.3889563864119,347.13709094361576,348.3889581280995,0.0020194613061300113,2.2102946596279938e-4,3.321036362638963,5.149754598746689,2550.2065920502087,2238.9597316945606,8.0902995085644
2007-01-23T00:00:00Z,50,38.25,15.44,2569.0137,2255.0009099999997,0.19,0.273,0.25,NA,NA,NA,NA,0.15363968006862977,2.1353970723462723,2007,1,1,January,4,15,1,5,8.128703905396602,1.2591756117654547e-5,346.86848152947044,348.1190604044683,346.7865659401273,348.0369745882414,349.2110068660301,356.7496253023247,0.0020209729255952647,2.214362282870801e-4,3.3009902635487034,5.115433014385646,2552.222760784314,2240.262341960784,8.089179809103804
2007-01-30T00:00:00Z,0,38.18,14.95,2561.11212,2253.4506,0.211,0.489,0.359,NA,NA,NA,NA,0.25961713442787165,1.7687025000910055,2007,1,1,January,5,15,1,0,8.129626576099215,1.27953261663859e-5,347.18600898599675,348.44555060030945,347.18600898599675,348.44555060030945,347.18600898599675,348.4455523599374,0.002023658083424688,2.1699719040892587e-4,3.258458643471049,5.058088884041649,2549.037730749083,2242.826684127816,8.08252580042754
2007-01-30T00:00:00Z,50,38.18,14.96,2560.96209,2252.25036,0.213,0.48,0.346,NA,NA,NA,NA,0.31990346138851694,2.6875780160421296,2007,1,1,January,5,15,1,5,8.129242614860383,1.273014420710331e-5,345.52168504812613,346.7750269932634,345.4411187625753,346.6942914508723,347.8590156770297,355.41478618938834,0.00202206171061763,2.1745850517526633e-4,3.239651623230578,5.025847251148379,2548.888408067051,2241.632102671556,8.082297007957324
2007-02-06T00:00:00Z,0,38.17,14.75,2563.5126,2257.70145,0.357,0.682,0.404,NA,NA,NA,NA,0.1215392172133532,2.1390902229550166,2007,1,2,February,6,15,1,0,8.12973666997152,1.2886543817232704e-5,347.53253163347864,348.7965436375565,347.53253163347864,348.7965436375565,347.53253163347864,348.796545408197,0.00202891172633366,2.159031798491072e-4,3.240875224283557,5.032999411036346,2552.0953314121034,2247.6461907257008,8.0795408335165
2007-02-06T00:00:00Z,50,38.18,14.76,2561.71224,2254.10073,0.28,0.578,0.512,NA,NA,NA,NA,0.12445549340263028,2.2752019887668347,2007,1,2,February,6,15,1,5,8.130807728214466,1.2759406145980946e-5,344.2273695567806,345.4791963888317,344.1475274068994,345.3991857479135,346.557567638425,354.10441171866086,0.002024506821944498,2.1683450190952108e-4,3.2288905335659663,5.011322984754609,2549.6350214772133,2243.47374908329,8.08076222496523
2007-02-13T00:00:00Z,0,NA,NA,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,2007,1,2,February,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-13T00:00:00Z,50,NA,NA,NA,NA,NA,NA,0.436,NA,NA,NA,NA,NA,NA,2007,1,2,February,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-20T00:00:00Z,0,38.1,14.27,2556.36117,2253.50061,0.213,0.213,NA,NA,NA,NA,NA,0.08458702209480863,1.86091448608579,2007,1,2,February,8,15,1,0,8.134235647215334,1.2892787193065547e-5,342.52382355984207,343.7772550532078,342.52382355984207,343.7772550532078,342.52382355984207,343.7772567907969,0.0020269741522317237,2.1363367057521015e-4,3.2051664670253093,4.982821358326945,2549.6515606299213,2247.5859102362206,8.076591141151733
2007-02-20T00:00:00Z,50,38.11,14.29,2555.511,2252.80047,0.281,0.281,NA,NA,NA,NA,NA,0.07972543856296306,2.251757508680761,2007,1,2,February,8,15,1,5,8.13186172001658,1.288919029078857e-5,342.6568699958698,343.9104686875317,342.57844463095364,343.8318760609975,344.98024241320934,352.5382592696553,0.0020265496253390543,2.1336165437015669e-4,3.175407732184012,4.933433175497535,2548.1348202571507,2246.298028339019,8.074541026868413
2007-02-27T00:00:00Z,0,NA,NA,NA,NA,0.337,0.749,0.455,NA,NA,NA,NA,NA,NA,2007,1,2,February,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-27T00:00:00Z,50,NA,NA,NA,NA,0.33,0.682,0.397,NA,NA,NA,NA,NA,NA,2007,1,2,February,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-06T00:00:00Z,0,NA,NA,NA,NA,0.053,0.397,0.666,NA,NA,NA,NA,NA,NA,2007,1,3,March,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-06T00:00:00Z,50,NA,NA,NA,NA,0.104,0.37,0.602,NA,NA,NA,NA,NA,NA,2007,1,3,March,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-13T00:00:00Z,0,NA,NA,NA,NA,0.007,0.271,NA,NA,NA,NA,NA,NA,NA,2007,1,3,March,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-13T00:00:00Z,50,NA,NA,NA,NA,0.115,0.157,NA,NA,NA,NA,NA,NA,NA,2007,1,3,March,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-20T00:00:00Z,0,38.03,14.24,2555.21094,2255.20095,NA,NA,0.41,NA,NA,NA,NA,NA,NA,2007,1,3,March,12,15,1,0,8.131240810777005,1.3018020912080412e-5,345.3979529309861,346.6623898590021,345.3979529309861,346.6623898590021,345.3979529309861,346.6623916270009,0.0020302381769596875,2.1194475212823162e-4,3.181143836818202,4.945969915686291,2553.195259531948,2253.421932684723,8.073153047666288
2007-03-20T00:00:00Z,50,38.14,14.14,2554.41078,2258.75166,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,3,March,12,15,1,5,8.1226537234276,1.3275513581150138e-5,351.3705231007951,352.658475458408,351.290423895808,352.57820484808946,353.75422626393487,361.51952602164585,0.0020366284984416868,2.0884764797716294e-4,3.106591322048995,4.827967572957159,2545.034337703199,2250.460489774515,8.063072326276
2007-03-27T00:00:00Z,0,NA,NA,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,2007,1,3,March,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-27T00:00:00Z,50,NA,NA,NA,NA,0.259,0.893,0.577,NA,NA,NA,NA,NA,NA,2007,1,3,March,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-03T00:00:00Z,0,38.08,14.1,2553.91068,2253.1505399999996,NA,NA,0.666,NA,NA,NA,NA,NA,NA,2007,2,4,April,14,15,1,0,8.134239715800454,1.2952788153853023e-5,342.29325407798075,343.5485617997959,342.29325407798075,343.5485617997959,342.29325407798075,343.54856354132545,0.0020279465903965304,2.1225116144961604e-4,3.183770298475182,4.95137920047212,2548.5453214285717,2248.417030462185,8.073967600638621
2007-04-03T00:00:00Z,50,38.09,13.98,2548.9096799999998,2251.9503,0.269,0.578,0.333,NA,NA,NA,NA,0.0884713224349143,2.059145724364269,2007,2,4,April,14,15,1,5,8.128339086035753,1.3111008347789008e-5,345.2201744659067,346.48816173587187,345.14186601129524,346.40968510621315,347.56346302805025,355.2085592536341,0.002029500775377002,2.0933851627520905e-4,3.1138938782502192,4.841057070506265,2542.8870527697554,2246.62933578367,8.066246512641978
2007-04-10T00:00:00Z,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,4,April,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-10T00:00:00Z,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,4,April,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
