Date;heure;Depth;Temperature;QC_TEMP;Temperature adjusted;QC_Temperature adjusted;Salinity;QC_PSAL;Salinity adjusted;QC_Salinity adjusted;Turbidity;Turbidity adjusted;QC_turbidity adjusted;Fluorescence;Fluorescence adjusted;QC_Fluorescence adjusted
2011-06-09;10:02:36;0.919;17.779;1;17.779;1;37.741;1;37.741;1;5.105;5.105;1;0.534;0.534;1
2011-06-09;11:02:36;0.905;17.839;1;17.839;1;37.817;1;37.817;1;1.539;1.539;1;0.233;0.233;1
2011-06-09;12:02:36;0.919;17.922;1;17.922;1;37.844;1;37.844;1;0;;9;0.223;0.223;1
2011-06-09;13:02:36;0.95;18.04;1;18.04;1;37.881;1;37.881;1;0;;9;0.187;0.187;1
2011-06-09;14:02:36;0.941;18.045;1;18.045;1;37.887;1;37.887;1;0;;9;0.199;0.199;1
2011-06-09;15:02:36;0.938;17.974;1;17.974;1;37.892;1;37.892;1;0;;9;0.211;0.211;1
2011-06-09;16:02:36;0.891;17.91;1;17.91;1;37.885;1;37.885;1;0;;9;0.201;0.201;1
2011-06-09;17:02:36;0.948;17.959;1;17.959;1;37.895;1;37.895;1;0;;9;0.231;0.231;1
2011-06-09;18:02:36;0.914;17.905;1;17.905;1;37.896;1;37.896;1;3.361;3.361;1;0.371;0.371;1
2011-06-09;19:02:36;0.965;17.803;1;17.803;1;37.897;1;37.897;1;3.262;3.262;1;0.649;0.649;1
2011-06-09;20:02:36;0.982;17.827;1;17.827;1;37.903;1;37.903;1;3.256;3.256;1;0.703;0.703;1
2011-06-09;21:02:36;0.934;17.744;1;17.744;1;37.904;1;37.904;1;3.166;3.166;1;0.772;0.772;1
2011-06-09;22:02:36;0.923;17.739;1;17.739;1;37.902;1;37.902;1;3.135;3.135;1;0.92;0.92;1
2011-06-09;23:02:36;0.98;17.728;1;17.728;1;37.905;1;37.905;1;3.096;3.096;1;0.829;0.829;1
2011-06-10;00:00:00;0.945;17.598;1;17.598;1;37.879;1;37.879;1;2.901;2.901;1;1.399;1.399;1
2011-06-10;00:02:36;0.925;17.718;1;17.718;1;37.912;1;37.912;1;3.032;3.032;1;0.729;0.729;1
2011-06-10;01:02:36;0.924;17.72;1;17.72;1;37.915;1;37.915;1;2.991;2.991;1;0.795;0.795;1
2011-06-10;02:02:36;0.9;17.629;1;17.629;1;37.91;1;37.91;1;2.947;2.947;1;0.768;0.768;1
