Date;YEAR;MONTH;Season;DAY;ALK;TIC;LAT;LONG;PRESS;Pot_Temp;SAL;pCO2;pHtot;ID_SITE;HEURE;CTD_cast;bouteille;PROF;PROF_NUM;TEMP;qT;S;qS;DOXY_MMKG;qDOXY_MMKG
1998-02-06;1998;2;1;6;2536.2;2243.9;43.4167;7.8667;5;13.795;38.053;342.9215;8.1312;DYFAMED;NA;NA;NA;4.697;NA;13.774;NA;38.0501;2;192.377;2
1998-02-06;1998;2;1;6;2540.5;2246.5;43.4167;7.8667;10;13.769;38.077;341.1971;8.1334;DYFAMED;NA;NA;NA;10.435;NA;13.7483;NA;38.0817;2;191.066;2
1998-02-06;1998;2;1;6;2543.2;2252.3;43.4167;7.8667;20;13.648;38.106;345.3013;8.1291;DYFAMED;NA;NA;NA;19.349;NA;13.6471;NA;38.1057;2;189.085;2
1998-02-06;1998;2;1;6;2539.5;2248.7;43.4167;7.8667;30;13.57;38.108;343.3061;8.1302;DYFAMED;NA;NA;NA;31.631;NA;13.5638;NA;38.1078;2;192.329;2
1998-02-06;1998;2;1;6;2543.2;2251.7;43.4167;7.8667;49;13.509;38.117;342.3027;8.131;DYFAMED;NA;NA;NA;52.029;NA;13.4916;NA;38.1209;2;192.405;2
1998-02-06;1998;2;1;6;2542.6;2254;43.4167;7.8667;70;13.4;38.135;345.2622;8.1269;DYFAMED;NA;NA;NA;72.698;NA;13.3918;NA;38.1391;2;190.066;2
1998-02-06;1998;2;1;6;2542;2254.2;43.4167;7.8667;90;13.321;38.146;345.2514;8.126;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2544.8;2261.2;43.4167;7.8667;110;13.305;38.169;352.761;8.1177;DYFAMED;NA;NA;NA;113.1;NA;13.3652;NA;38.2048;2;194.18;2
1998-02-06;1998;2;1;6;2557.1;2288.7;43.4167;7.8667;150;13.148;38.287;381.1023;8.0895;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2560.2;2292;43.4167;7.8667;200;13.054;38.307;380.8273;8.088;DYFAMED;NA;NA;NA;180.989;NA;13.0609;NA;38.293;2;181.096;2
1998-02-06;1998;2;1;6;2580.8;2315.6;43.4167;7.8667;300;13.368;38.498;399.17;8.0693;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2584.9;2319.6;43.4167;7.8667;400;13.408;38.557;401.0961;8.0638;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2585.1;2319.5;43.4167;7.8667;500;13.397;38.573;400.1781;8.0605;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2588;2320;43.4167;7.8667;600;13.328;38.565;394.8522;8.0617;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2589.2;2318.9;43.4167;7.8667;700;13.278;38.556;389.6173;8.0626;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2585.8;2314.5;43.4167;7.8667;800;13.21;38.541;385.1622;8.0621;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2585.8;2314.3;43.4167;7.8667;1000;13.09;38.513;381.8305;8.057;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2579.2;2309.7;43.4167;7.8667;1251;12.981;38.485;380.6492;8.0467;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2575.5;2307;43.4167;7.8667;1500;12.884;38.461;378.7512;8.0377;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-02-06;1998;2;1;6;2579.3;2310.6;43.4167;7.8667;2000;12.801;38.441;376.296;8.0199;DYFAMED;NA;NA;NA;1979.398;NA;13.0991;NA;38.4409;2;161.354;4
1998-03-16;1998;3;1;16;2562.2;2270;43.4167;7.8667;5;13.394;38.294;346.2996;8.1311;DYFAMED;NA;NA;NA;4.459;NA;13.5029;NA;38.2937;2;205.751;2
1998-03-16;1998;3;1;16;2562.7;2269.9;43.4167;7.8667;9;13.298;38.295;344.0555;8.1334;DYFAMED;NA;NA;NA;12.165;NA;13.2833;NA;38.2948;2;213.65;2
1998-03-16;1998;3;1;16;2564;2275;43.4167;7.8667;20;13.23;38.295;349.4455;8.1275;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2562.8;2279.6;43.4167;7.8667;30;13.13;38.296;357.1181;8.119;DYFAMED;NA;NA;NA;30.196;NA;13.1596;NA;38.299;2;201.096;2
1998-03-16;1998;3;1;16;2566.2;2292.4;43.4167;7.8667;49;13.198;38.335;375.6237;8.1002;DYFAMED;NA;NA;NA;45.03;NA;13.1871;NA;38.3281;2;168.665;2
1998-03-16;1998;3;1;16;2567.2;2287;43.4167;7.8667;70;13.128;38.345;363.6655;8.1113;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2566.8;2287.5;43.4167;7.8667;89;13.106;38.346;364.6899;8.1094;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2571.4;2297.1;43.4167;7.8667;110;13.257;38.402;377.5745;8.0964;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2583.1;2312.2;43.4167;7.8667;129;13.602;38.52;393.9257;8.0816;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2585.5;2316.1;43.4167;7.8667;151;13.601;38.536;397.5063;8.0777;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2586.2;2321.3;43.4167;7.8667;200;13.46;38.546;403.8014;8.07;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2588.2;2320.8;43.4167;7.8667;299;13.449;38.573;399.3135;8.0702;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2588.7;2320.1;43.4167;7.8667;400;13.361;38.565;395.2341;8.0698;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2591.8;2318.6;43.4167;7.8667;500;13.356;38.573;387.2411;8.0735;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2589.4;2314.4;43.4167;7.8667;601;13.32;38.567;382.2713;8.0737;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2587.6;2314.4;43.4167;7.8667;701;13.19;38.536;382.1989;8.0694;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2587.1;2313.9;43.4167;7.8667;801;13.16;38.529;381.139;8.0661;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2584.1;2313.1;43.4167;7.8667;1001;13.025;38.495;380.9988;8.0575;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2581.7;2311.2;43.4167;7.8667;1250;12.928;38.471;378.5372;8.0492;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2580.7;2310.4;43.4167;7.8667;1500;12.858;38.452;376.4487;8.0407;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-03-16;1998;3;1;16;2579.1;2310.2;43.4167;7.8667;1999;12.796;38.438;375.7721;8.0204;DYFAMED;NA;NA;NA;1965.312;NA;13.0923;NA;38.4382;2;161.133;4
1998-04-25;1998;4;2;25;2541.4;2240.5;43.4167;7.8667;5;15.622;38.084;357.8854;8.116;DYFAMED;NA;NA;NA;5.032;NA;15.373;NA;36.05;4;212.892;2
1998-04-25;1998;4;2;25;2543;2241;43.4167;7.8667;9;14.447;38.078;339.1912;8.1358;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-04-25;1998;4;2;25;2545.1;2247.6;43.4167;7.8667;21;14.101;38.093;341.8559;8.1328;DYFAMED;NA;NA;NA;21.075;NA;14.0492;NA;38.0967;2;246.974;2
1998-04-25;1998;4;2;25;2546.5;2256.1;43.4167;7.8667;30;13.775;38.129;349.0517;8.1252;DYFAMED;NA;NA;NA;31.329;NA;13.7189;NA;38.1572;2;229.78;2
1998-04-25;1998;4;2;25;2558.4;2294.1;43.4167;7.8667;39;13.501;38.232;394.8351;8.0815;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-04-25;1998;4;2;25;2561.6;2301.8;43.4167;7.8667;50;13.37;38.302;402.8926;8.0739;DYFAMED;NA;NA;NA;51.392;NA;13.3993;NA;38.3166;2;165.203;2
1998-04-25;1998;4;2;25;2565;2307.1;43.4167;7.8667;70;13.363;38.36;408.0456;8.0688;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
1998-04-25;1998;4;2;25;2570;2312;43.4167;7.8667;90;13.409;38.398;410.4741;8.0664;DYFAMED;NA;NA;NA;NA;NA;NA;NA;NA;9;NA;9
